"id","subject_bird","allpairs","small_num","large_num","smallbirds","largebirds","small_side","large_side","date","initials","choice","time_in","time_out","notes",
1,"robin",43833,1,3,"Cash","Ariel Mork Mulder","L","R","2/15/2021","TB","L","9:24","9:27",,
1.1,"juan",43833,1,3,"Cash","Scully Mork Mulder","L","R","2/27/2020","LW/KS","R",,,"board says wrong thing: 2/28",
1.2,"black elk",43833,1,3,"Cash","Ariel Mork Mulder","L","R","2/15/2021","TB","R","9:29","9:32",,
1.3,"Rooster",43833,1,3,"Cash","Scully Mork Mulder","L","R","2/27/2020","LW/KS","R",,,"board says wrong things 2/28",
1.4,"juniper",43833,1,3,"Cash","Ariel Mork Mulder","L","R","2/15/2021","LW/TB","R","9:35","9:38",,
1.5,"flute",43833,1,3,"Cash","Ariel Mork Mulder","L","R","2/15/2021","LW/TB","L","9:39","9:42",,
1.6,"dill",43833,1,3,"Cash","Scully Mork Mulder","L","R","2/27/2020","LW/KS","R",,,,
1.7,"baloo",43833,1,3,"Cash","Scully Mork Mulder","L","R","2/27/2020","LW/KS","L",,,,
1.8,"chicklet",43833,1,3,"Cash","Scully Mork Mulder","L","R","2/27/2020","LW/KS","L",,,,
1.9,"basil",43833,1,3,"Cash","Ariel Mork Mulder","L","R","2/15/2021","LW/TB","R","9:44","9:47",,
1.11,"hippo",43833,1,3,"Cash","Ariel Mork Mulder","L","R","2/15/2021","LW/TB","L","9:49","9:52",,
2,"juniper",43834,1,4,"Pease","Mork Egeus Mulder Commanche","R","L","2/16/2021","LW/TB","R","10:12","10:15",,
2.1,"basil",43834,1,4,"Hagrid","Mork Egeus Mulder Scully","R","L","2/28/2020","LW/KT","R",,,,
2.2,"hippo",43834,1,4,"Pease","Mork Egeus Mulder Commanche","R","L","2/16/2021","LW/TB","L","10:17","10:20",,
2.3,"chicklet",43834,1,4,"Hagrid","Mork Egeus Mulder Scully","R","L","2/28/2020","LW/KT","R",,,,
2.4,"black elk",43834,1,4,"Pease","Mork Egeus Mulder Commanche","R","L","2/16/2021","LW/TB","R","10:21","10:24",,
2.5,"baloo",43834,1,4,"Hagrid","Mork Egeus Mulder Scully","R","L","2/28/2020","LW/KT","L",,,,
2.6,"Rooster",43834,1,4,"Hagrid","Mork Egeus Mulder Scully","R","L","2/28/2020","LW/KT","R",,,,
2.7,"robin",43834,1,4,"Pease","Mork Egeus Mulder Commanche","R","L","2/16/2021","LW/TB","L","10:26","10:29",,
2.8,"flute",43834,1,4,"Pease","Mork Egeus Mulder Commanche","R","L","2/16/2021","LW/TB","L","10:30","10:33",,
2.9,"dill",43834,1,4,"Hagrid","Mork Egeus Mulder Scully","R","L","2/28/2020","LW/KT","R",,,,
2.11,"juan",43834,1,4,"Hagrid","Mork Egeus Mulder Scully","R","L","2/28/2020","LW/KT","R",,,,
3,"baloo",43926,4,5,"Zappa Hermia Hagrid Saffron","Egeus Sebastan Mork Scully Mulder","L","R","3/2/2020","LW/KT/TB","R",,,,
3.1,"basil",43926,4,5,"Zappa Quince Pease Saffron","Egeus Sapphire Mork Commanche Mulder","L","R","2/17/2021","TB/BW","R","9:21","9:24",,
3.2,"hippo",43926,4,5,"Zappa Quince Pease Saffron","Egeus Sapphire Mork Commanche Mulder","L","R","2/17/2021","TB/BW","R","9:26","9:29",,
3.3,"dill",43926,4,5,"Zappa Hermia Hagrid Saffron","Egeus Sebastan Mork Scully Mulder","L","R","3/2/2020","LW/KT/TB","R",,,,
3.4,"flute",43926,4,5,"Zappa Quince Pease Saffron","Egeus Sapphire Mork Commanche Mulder","L","R","2/17/2021","TB/BW","R","9:32","9:35",,
3.5,"juniper",43926,4,5,"Zappa Quince Pease Saffron","Egeus Sapphire Mork Commanche Mulder","L","R","2/17/2021","TB/BW","R","9:37","9:40",,
3.6,"juan",43926,4,5,"Zappa Hermia Hagrid Saffron","Egeus Sebastan Mork Scully Mulder","L","R","3/2/2020","LW/KT/TB","R",,,,
3.7,"black elk",43926,4,5,"Zappa Quince Pease Saffron","Egeus Sapphire Mork Commanche Mulder","L","R","2/17/2021","TB/BW","R","9:42","9:45",,
3.8,"robin",43926,4,5,"Zappa Quince Pease Saffron","Egeus Sapphire Mork Commanche Mulder","L","R","2/17/2021","TB/BW","L","9:49","9:52",,
3.9,"Rooster",43926,4,5,"Zappa Hermia Hagrid Saffron","Egeus Sebastan Mork Scully Mulder","L","R","3/2/2020","LW/KT/TB","R",,,,
3.11,"chicklet",43926,4,5,"Zappa Hermia Hagrid Saffron","Egeus Sebastan Mork Scully Mulder","L","R","3/2/2020","LW/KT/TB","R",,,,
4,"juniper","0-2",0,2,0,"Mork Egeus","R","L","7/14/2020","LW/KT","R",,,,
4.1,"black elk","0-2",0,2,0,"Mork Egeus","R","L","7/14/2020","LW/KT","R",,,,
4.2,"basil","0-2",0,2,0,"Mork Egeus","R","L","3/3/2020","TB/LW","R",,,,
4.3,"Rooster","0-2",0,2,0,"Mork Egeus","R","L","3/3/2020","TB/LW","L",,,,
4.4,"robin","0-2",0,2,0,"Mork Egeus","R","L","7/14/2020","LW/KT","L",,,,
4.5,"hippo","0-2",0,2,0,"Mork Egeus","R","L","7/14/2020","LW/KT","R",,,,
4.6,"dill","0-2",0,2,0,"Mork Egeus","R","L","3/3/2020","TB/LW","R",,,,
4.7,"flute","0-2",0,2,0,"Mork Egeus","R","L","7/14/2020","LW/KT","R",,,,
4.8,"chicklet","0-2",0,2,0,"Mork Egeus","R","L","3/3/2020","TB/LW","R",,,,
4.9,"juan","0-2",0,2,0,"Mork Egeus","R","L","3/3/2020","TB/LW","R",,,,
4.11,"baloo","0-2",0,2,0,"Mork Egeus","R","L","3/3/2020","TB/LW","R",,,,
5,"baloo",43894,3,4,"Saffron Hagrid Hermia","Fox Scully Sebastan Mulder","L","R","3/4/2020","LW/KT","L","11:04","11:07",,
5.1,"juan",43894,3,4,"Saffron Hagrid Hermia","Fox Scully Sebastan Mulder","L","R","3/4/2020","LW/KT","L","11:08","11:12",,
5.2,"Rooster",43894,3,4,"Saffron Hagrid Hermia","Fox Scully Sebastan Mulder","L","R","3/4/2020","LW/KT","L","11:14","11:17",,
5.3,"flute",43894,3,4,"Saffron Pease Quince","Fox Commanche Sapphire Mulder","L","R","2/18/2021","LW/HW","R","9:44","9:47",,
5.4,"juniper",43894,3,4,"Saffron Pease Quince","Fox Commanche Sapphire Mulder","L","R","2/18/2021","LW/HW","L","9:50","9:53",,
5.5,"robin",43894,3,4,"Saffron Pease Quince","Fox Commanche Sapphire Mulder","L","R","2/18/2021","LW/HW","R","9:55","9:58",,
5.6,"hippo",43894,3,4,"Saffron Pease Quince","Fox Commanche Sapphire Mulder","L","R","2/18/2021","LW/HW","L","0:00","10:03",,
5.7,"dill",43894,3,4,"Saffron Hagrid Hermia","Fox Scully Sebastan Mulder","L","R","3/4/2020","LW/KT","R","11:19","11:22",,
5.8,"chicklet",43894,3,4,"Saffron Hagrid Hermia","Fox Scully Sebastan Mulder","L","R","3/4/2020","LW/KT","R","11:25","11:28",,
5.9,"black elk",43894,3,4,"Saffron Pease Quince","Fox Commanche Sapphire Mulder","L","R","2/18/2021","LW/HW","L","10:04","10:07",,
5.11,"basil",43894,3,4,"Saffron Hagrid Hermia","Fox Scully Sebastan Mulder","L","R","3/4/2020","LW/KT","R","11:30","11:33",,
6,"black elk",43865,2,4,"Pease Quince","Commanche Fox Sapphire Egeus","R","L","2/19/2021","LW/BM","R","9:31","9:34",,
6.1,"flute",43865,2,4,"Pease Quince","Commanche Fox Sapphire Egeus","R","L","2/19/2021","LW/BM","R","9:36","9:39",,
6.2,"chicklet",43865,2,4,"Hagrid Hermia","Scully Fox Sebastan Egeus","R","L","3/5/2020","TB/KS","R","1:20","1:23",,
6.3,"juniper",43865,2,4,"Pease Quince","Commanche Fox Sapphire Egeus","R","L","2/19/2021","LW/BM","R","9:45","9:47",,
6.4,"juan",43865,2,4,"Hagrid Hermia","Scully Fox Sebastan Egeus","R","L","3/5/2020","TB/KS","R","1:28","1:32",,
6.5,"basil",43865,2,4,"Hagrid Hermia","Scully Fox Sebastan Egeus","R","L","3/5/2020","TB/KS","R","1:33","1:39",,
6.6,"robin",43865,2,4,"Pease Quince","Commanche Fox Sapphire Egeus","R","L","2/19/2021","LW/BM","L","9:50","9:53",,
6.7,"dill",43865,2,4,"Hagrid Hermia","Scully Fox Sebastan Egeus","R","L","3/5/2020","TB/KS","R","1:41","1:44",,
6.8,"Rooster",43865,2,4,"Hagrid Hermia","Scully Fox Sebastan Egeus","R","L","3/5/2020","TB/KS","R","1:46","1:49",,
6.9,"hippo",43865,2,4,"Pease Quince","Commanche Fox Sapphire Egeus","R","L","2/19/2021","LW/BM","L","9:55","9:57",,
6.11,"baloo",43865,2,4,"Pease Hermia","Scully Fox Sebastan Egeus","R","L","3/5/2020","TB/KS","L","1:51","1:54",,
7,"flute","0-5",0,5,0,"Fox Mulder Commanche Sapphire Egeus","L","R"," 2/22/2021","TB/BW","R","9:18","9:21",,
7.1,"Rooster","0-5",0,5,0,"Fox Mulder Scully Sebastan Egeus","L","R","3/6/2020","KT/LW","R","11:22","11:25",,
7.2,"baloo","0-5",0,5,0,"Fox Mulder Scully Sebastan Egeus","L","R","3/6/2020","KT/LW","L","11:29","11:32",,
7.3,"juan","0-5",0,5,0,"Fox Mulder Scully Sebastan Egeus","L","R","3/6/2020","KT/LW","R","11:34","11:37",,
7.4,"hippo","0-5",0,5,0,"Fox Mulder Commanche Sapphire Egeus","L","R"," 2/22/2021","TB/BW","R","9:23","9:26",,
7.5,"chicklet","0-5",0,5,0,"Fox Mulder Scully Sebastan Egeus","L","R","3/6/2020","KT/LW","R","11:40","11:43",,
7.6,"dill","0-5",0,5,0,"Fox Mulder Commanche Sapphire Egeus","L","R"," 2/22/2021","TB/BW","R","9:28","9:31",,
7.7,"basil","0-5",0,5,0,"Fox Mulder Scully Sebastan Egeus","L","R","3/6/2020","KT/LW","L","12:26","12:30",,
7.8,"black elk","0-5",0,5,0,"Fox Mulder Commanche Sapphire Egeus","L","R"," 2/22/2021","TB/BW","L","9:33","9:36",,
7.9,"juniper","0-5",0,5,0,"Fox Mulder Commanche Sapphire Egeus","L","R"," 2/22/2021","TB/BW","R","9:40","9:43",,
7.11,"robin","0-5",0,5,0,"Fox Mulder Commanche Sapphire Egeus","L","R"," 2/22/2021","TB/BW","L","9:45","9:58",,
8,"hippo",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","R","1:40","1:43",,
8.1,"basil",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","1:25","1:28",,
8.2,"black elk",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","1:34","1:37",,
8.3,"juan",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","1:46","1:49",,
8.4,"baloo",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","1:51","1:55",,
8.5,"flute",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","1:57","2:00",,
8.6,"robin",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","2:02","2:05",,
8.7,"dill",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","2:08","2:11",,
8.8,"chicklet",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","2:14","2:17",,
8.9,"Rooster",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","2:19","2:21",,
8.11,"juniper",43895,3,5,"Saffron Zappa Hagrid","Mork Egeus Sebastan Scully Fox","R","L","3/10/2020","TB/BW","L","2:25","2:28",,
9,"juniper",43832,1,2,"Hagrid","Mulder Fox","R","L","3/11/2020","LW/BM","R","11:03","11:06",,
9.1,"Rooster",43832,1,2,"Hagrid","Mulder Fox","R","L","3/11/2020","LW/BM","L","11:10","11:13",,
9.2,"hippo",43832,1,2,"Hagrid","Mulder Fox","R","L","3/11/2020","LW/BM","R","11:18","11:21",,
9.3,"dill",43832,1,2,"Hagrid","Mulder Fox","R","L","3/11/2020","LW/BM","L","11:25","11:28",,
