study,rep,subject,sex,date,session,pair,small_num,large_num,large_side,small_birds,large_birds,choice,choose_larger
Food,1,Fozzie,Male,2021-03-11T00:00:00Z,1,1-4,1,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-03-11T00:00:00Z,1,5-6,5,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-03-11T00:00:00Z,1,1-2,1,2,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-03-11T00:00:00Z,1,2-3,2,3,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-11T00:00:00Z,1,2-5,2,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-03-12T00:00:00Z,2,2-4,2,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-03-12T00:00:00Z,2,1-6,1,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-03-14T00:00:00Z,3,4-5,4,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-14T00:00:00Z,3,2-6,2,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-14T00:00:00Z,3,3-4,3,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-03-14T00:00:00Z,3,3-5,3,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-14T00:00:00Z,3,1-3,1,3,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-16T00:00:00Z,5,4-6,4,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-16T00:00:00Z,5,1-5,1,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-16T00:00:00Z,5,3-6,3,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-03-16T00:00:00Z,5,4-5,4,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-03-16T00:00:00Z,5,1-4,1,4,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-28T00:00:00Z,53,3-5,3,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-06-02T00:00:00Z,56,1-5,1,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-06-02T00:00:00Z,56,2-6,2,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-06-02T00:00:00Z,56,2-3,2,3,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-06-02T00:00:00Z,56,3-4,3,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-03-18T00:00:00Z,7,1-6,1,6,R,NA,NA,R,1
